Sample_Name,BioSample,BioProject,Other_Name,Other_ID,Dataset,City/Location,Country,Continent,Location_Descriptor,Material,Latitude,Longitude,Lat-Long,Depth [IN M],Date_Collected,cb-broad-desc,cb-narrow-desc,cb-material-type,sra:env_broad_scale,sra:env_local_scale,sra:env_medium
SRR5161788,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161794,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161795,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161798,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161800,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161805,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161807,,,,BR-CD1,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD - Cu,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161789,,,,BR-CD2,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD Sediment - CU,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5161792,,,,BR-CD2,acid mine,Pará - Canaa dos Carajas,Brazil,South America,,AMD Sediment - CU,,,-6.44 N -50.04 E,,,epa/contaminant,metallic soil,,,,
SRR5352531,,,,CA-ON,acid mine,Ontario,Canada,North America,,AMD -Ni-Cu,46.65 N,-81.32 E,,,,epa/contaminant,metallic soil,,,,
SRR5352532,,,,CA-ON,acid mine,Ontario,Canada,North America,,AMD -Ni-Cu,46.65 N,-81.32 E,,,,epa/contaminant,metallic soil,,,,
