node,file
NODE_88_length_14423_cov_161.881194,SRR359027
NODE_476_length_2720_cov_2.647280,SRR359027
NODE_53_length_21350_cov_4.952806,SRR359027
NODE_49_length_23636_cov_326.732200,SRR359027
NODE_1_length_167928_cov_307.790056,SRR359027
NODE_944_length_1306_cov_58.386091,SRR359027
NODE_9_length_54817_cov_246.722910,SRR359027
NODE_21_length_61250_cov_278.138083,SRR359028
NODE_268_length_13181_cov_3.795977,SRR359028
NODE_42_length_40578_cov_7.554451,SRR359028
NODE_1_length_145253_cov_334.174011,SRR359028
NODE_662_length_5440_cov_20.087651,SRR359028
NODE_1040_length_3450_cov_6.160530,SRR359028
NODE_1159_length_3090_cov_4.270181,SRR359028
NODE_335_length_10769_cov_159.091842,SRR359028
NODE_1494_length_2329_cov_181.669745,SRR359028
NODE_540_length_6881_cov_4.140053,SRR359028
NODE_305_length_11700_cov_4.340489,SRR359028
NODE_56_length_34790_cov_4.269440,SRR359028
NODE_1548_length_2220_cov_6.915473,SRR359028
NODE_336_length_10763_cov_153.201905,SRR359028
NODE_1211_length_2955_cov_4.427931,SRR359028
NODE_1706_length_3760_cov_41.885830,SRR359025
NODE_761_length_8390_cov_2.893821,SRR359025
NODE_815_length_7869_cov_30.423727,SRR359025
NODE_1828_length_3499_cov_11.664053,SRR359025
NODE_1453_length_4483_cov_3.947832,SRR359025
NODE_5084_length_1059_cov_5.679283,SRR359025
NODE_4115_length_1369_cov_4.601979,SRR359025
NODE_1556_length_4160_cov_2.731303,SRR359025
NODE_2920_length_2031_cov_74.744939,SRR359025
NODE_406_length_14594_cov_3.489924,SRR359025
NODE_1117_length_5712_cov_261.684285,SRR359025
NODE_274_length_19200_cov_65.360564,SRR359025
NODE_115_length_35204_cov_66.057783,SRR359025
NODE_291_length_18282_cov_50.729687,SRR359025
NODE_341_length_16464_cov_94.382534,SRR359025
NODE_5214_length_1025_cov_1.905155,SRR359025
NODE_3843_length_1469_cov_11.843706,SRR359025
NODE_182_length_16791_cov_282.706262,SRR359022
NODE_6_length_97077_cov_241.674600,SRR359022
NODE_1_length_184423_cov_269.074525,SRR359022
NODE_412_length_5711_cov_12.103784,SRR359022
NODE_27_length_61252_cov_419.747978,SRR359022
NODE_574_length_3760_cov_30.759244,SRR359022
NODE_11_length_97077_cov_64.335955,SRR359019
NODE_211_length_16791_cov_77.453633,SRR359019
NODE_1338_length_1969_cov_1.816092,SRR359019
NODE_696_length_4757_cov_3.110591,SRR359019
NODE_1002_length_2949_cov_219.710781,SRR359019
NODE_46_length_53372_cov_65.244969,SRR359019
NODE_33_length_62261_cov_4.856284,SRR359019
NODE_1270_length_2121_cov_39.266215,SRR359019
NODE_819_length_3760_cov_141.443725,SRR359019
NODE_631_length_5298_cov_3.667366,SRR359019
NODE_1_length_184420_cov_74.593421,SRR359019
NODE_1732_length_1332_cov_4.649961,SRR359019
NODE_240_length_16791_cov_79.221738,SRR359001
NODE_452_length_8820_cov_3.751854,SRR359001
NODE_839_length_3760_cov_147.361943,SRR359001
NODE_1438_length_1577_cov_15.360710,SRR359001
NODE_391_length_10389_cov_5.971357,SRR359001
NODE_1736_length_1184_cov_1.142604,SRR359001
NODE_44_length_56706_cov_5.802139,SRR359001
NODE_195_length_19878_cov_9.327397,SRR359001
NODE_636_length_5661_cov_370.578844,SRR359001
NODE_756_length_4396_cov_2.668510,SRR359001
NODE_22_length_77972_cov_59.087940,SRR359001
NODE_1_length_184420_cov_76.308459,SRR359001
NODE_48_length_53421_cov_67.071000,SRR359001
